"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2018 TV)","2018-Oct-07 20:05 ± < 00:01","0.00190","0.00190","8.51","8.34","28.6","5.1 m -   11 m","0"
"(2018 UL)","2018-Oct-17 11:34 ± < 00:01","0.00148","0.00148","5.81","5.49","29.2","3.8 m -  8.6 m","0"
"(2018 UA)","2018-Oct-19 14:46 ± < 00:01","0.00009","0.00009","14.15","11.91","30.2","2.4 m -  5.4 m","1"
"(2022 UR4)","2018-Oct-20 13:27 ± 1_14:16","0.00168","0.00152","13.80","13.68","28.9","4.4 m -  9.7 m","0"
"(2020 CD3)","2018-Oct-26 00:10 ± < 00:01","0.00215","0.00215","1.45","-NaN","31.7","1.2 m -  2.7 m","0"
"(2018 VP1)","2018-Nov-02 18:20 ± < 00:01","0.00101","0.00101","9.81","9.54","30.9","1.8 m -  3.9 m","0"
"(2018 VT5)","2018-Nov-05 01:32 ±    00:01","0.00123","0.00123","9.78","9.56","28.5","5.3 m -   12 m","0"
"(2018 VO5)","2018-Nov-06 01:31 ± < 00:01","0.00094","0.00094","12.22","11.98","26.7","12 m -   27 m","2"
"(2018 VX1)","2018-Nov-10 18:20 ± < 00:01","0.00255","0.00255","6.06","5.89","27.5","8.4 m -   19 m","0"
"(2018 VC7)","2018-Nov-13 02:24 ±    00:02","0.00224","0.00224","4.48","4.21","27.4","8.8 m -   20 m","0"
"(2018 WA1)","2018-Nov-13 18:28 ± < 00:01","0.00168","0.00168","3.30","2.78","30.1","2.5 m -  5.7 m","0"
"(2018 VJ10)","2018-Nov-14 20:39 ± < 00:01","0.00133","0.00132","13.50","13.35","28.6","5.1 m -   11 m","0"
"(2018 WH)","2018-Nov-16 05:49 ± < 00:01","0.00127","0.00127","7.81","7.53","29.8","2.9 m -  6.5 m","0"
"(2018 WG)","2018-Nov-16 19:14 ± < 00:01","0.00021","0.00021","11.85","10.70","29.3","3.7 m -  8.2 m","1"
"(2018 WE)","2018-Nov-18 13:55 ± < 00:01","0.00160","0.00160","12.80","12.67","28.4","5.6 m -   12 m","0"
"(2018 WJ)","2018-Nov-19 23:23 ± < 00:01","0.00079","0.00079","18.66","18.48","27.9","7.0 m -   16 m","1"
"(2018 WE1)","2018-Nov-25 00:03 ± < 00:01","0.00072","0.00072","12.01","11.69","26.1","16 m -   36 m","2"
"(2018 WZ1)","2018-Nov-27 10:27 ± < 00:01","0.00073","0.00073","14.18","13.92","29.4","3.5 m -  7.8 m","0"
"(2018 WA3)","2018-Nov-28 04:11 ± < 00:01","0.00216","0.00215","16.41","16.33","28.0","6.7 m -   15 m","0"
"(2018 WG2)","2018-Nov-30 19:09 ± < 00:01","0.00134","0.00133","6.75","6.45","30.1","2.5 m -  5.7 m","0"
"(2018 WV1)","2018-Dec-02 03:11 ± < 00:01","0.00022","0.00022","5.17","1.62","30.3","2.3 m -  5.2 m","0"
"(2018 XA4)","2018-Dec-11 15:42 ±    00:01","0.00249","0.00248","12.76","12.68","29.0","4.2 m -  9.4 m","0"
"(2018 YL2)","2018-Dec-27 17:33 ± < 00:01","0.00040","0.00040","11.91","11.34","29.4","3.5 m -  7.8 m","1"
"(2018 YO2)","2018-Dec-28 06:27 ± < 00:01","0.00131","0.00131","4.30","3.79","29.8","2.9 m -  6.5 m","0"
"(2019 AW2)","2018-Dec-28 12:34 ± < 00:01","0.00111","0.00110","14.05","13.87","25.4","22 m -   50 m","2"
"(2019 AS5)","2019-Jan-08 00:37 ± < 00:01","0.00010","0.00010","12.52","10.19","32.3","0.92 m -  2.1 m","0"
"(2019 AE9)","2019-Jan-12 11:09 ± < 00:01","0.00067","0.00067","19.22","19.01","27.2","9.7 m -   22 m","1"
"(2019 BO)","2019-Jan-16 01:13 ± < 00:01","0.00046","0.00046","8.08","7.32","28.1","6.4 m -   14 m","1"
"(2020 CD3)","2019-Jan-16 17:12 ± < 00:01","0.00108","0.00108","2.13","-NaN","31.7","1.2 m -  2.7 m","0"
"(2019 BV1)","2019-Jan-24 20:53 ± < 00:01","0.00090","0.00090","14.40","14.19","28.8","4.6 m -   10 m","0"
"(2019 BZ3)","2019-Jan-27 23:29 ± < 00:01","0.00032","0.00032","11.37","10.62","28.8","4.7 m -   10 m","1"
"(2019 CN5)","2019-Feb-11 07:23 ±    00:03","0.00079","0.00079","15.84","15.63","27.9","7.0 m -   16 m","1"
"(2019 DG2)","2019-Feb-26 07:39 ±    00:24","0.00158","0.00156","21.04","20.96","28.5","5.3 m -   12 m","0"
"(2019 DF)","2019-Feb-26 21:11 ±    00:09","0.00116","0.00105","14.95","14.79","29.8","2.9 m -  6.5 m","0"
"(2019 EH1)","2019-Mar-01 17:38 ± < 00:01","0.00016","0.00016","15.61","14.48","30.1","2.5 m -  5.6 m","1"
"(2019 EN2)","2019-Mar-13 23:38 ± < 00:01","0.00221","0.00221","9.83","9.70","27.6","8.0 m -   18 m","0"
"(2019 FA)","2019-Mar-16 01:14 ± < 00:01","0.00154","0.00154","6.04","5.75","28.8","4.7 m -   11 m","0"
"(2019 EA2)","2019-Mar-22 01:53 ± < 00:01","0.00205","0.00205","5.37","5.12","25.8","18 m -   41 m","1"
"(2019 FQ)","2019-Mar-23 18:17 ± < 00:01","0.00220","0.00220","8.47","8.32","27.1","10 m -   23 m","1"
"(2019 FC1)","2019-Mar-28 05:46 ± < 00:01","0.00069","0.00069","25.92","25.77","25.6","20 m -   45 m","3"
"(2019 FV1)","2019-Mar-31 05:27 ± < 00:01","0.00223","0.00223","18.28","18.21","28.9","4.4 m -  9.9 m","0"
"(2019 GP21)","2019-Mar-31 18:57 ±    06:12","0.00238","0.00199","10.98","10.87","29.8","2.9 m -  6.5 m","0"
"(2020 CD3)","2019-Apr-04 09:33 ± < 00:01","0.00009","0.00009","7.77","-NaN","31.7","1.2 m -  2.7 m","0"
"(2019 GN20)","2019-Apr-12 07:06 ± < 00:01","0.00253","0.00252","14.81","14.74","26.5","13 m -   30 m","1"
"(2019 GC6)","2019-Apr-18 06:41 ± < 00:01","0.00146","0.00146","5.62","5.29","26.5","13 m -   30 m","1"
"(2019 HE)","2019-Apr-20 21:12 ± < 00:01","0.00150","0.00149","12.18","12.03","26.7","12 m -   27 m","1"
"(2019 JK)","2019-Apr-30 08:12 ± < 00:01","0.00178","0.00178","17.91","17.82","28.0","6.7 m -   15 m","0"
"(2019 JX1)","2019-May-02 12:39 ± < 00:01","0.00120","0.00120","14.54","14.38","29.1","4.0 m -  9.0 m","0"
"(2019 JY2)","2019-May-05 17:12 ± < 00:01","0.00098","0.00098","8.05","7.71","29.6","3.2 m -  7.1 m","0"
"(2019 JP144)","2019-May-13 23:05 ±    00:02","0.00227","0.00215","15.43","15.35","27.4","8.6 m -   19 m","0"
"(2019 JH7)","2019-May-16 00:06 ± < 00:01","0.00048","0.00048","9.64","9.05","29.6","3.2 m -  7.1 m","0"
"(2019 KT)","2019-May-28 03:48 ± < 00:01","0.00217","0.00217","11.62","11.52","26.6","13 m -   28 m","1"
"(2019 LD42)","2019-Jun-05 14:54 ±    00:03","0.00091","0.00090","13.44","13.22","28.7","4.9 m -   11 m","0"
"(2019 LY4)","2019-Jun-06 01:30 ± < 00:01","0.00056","0.00056","20.74","20.50","27.8","7.3 m -   16 m","1"
"(2019 LW4)","2019-Jun-08 17:04 ± < 00:01","0.00166","0.00166","8.78","8.59","27.3","9.2 m -   21 m","1"
"(2020 CD3)","2019-Jun-30 17:27 ± < 00:01","0.00185","0.00185","1.56","-NaN","31.7","1.2 m -  2.7 m","0"
"(2019 NK1)","2019-Jul-02 09:49 ± < 00:01","0.00177","0.00177","8.27","8.08","29.9","2.8 m -  6.2 m","0"
"(2019 MB4)","2019-Jul-09 07:20 ± < 00:01","0.00211","0.00211","7.18","7.00","26.0","17 m -   38 m","1"
"(2019 NF7)","2019-Jul-09 12:07 ± < 00:01","0.00253","0.00252","9.30","9.19","28.1","6.4 m -   14 m","0"
"(2019 NN3)","2019-Jul-10 16:29 ± < 00:01","0.00214","0.00214","8.84","8.70","24.7","31 m -   68 m","2"
"(2019 OD)","2019-Jul-24 13:31 ± < 00:01","0.00239","0.00239","19.19","19.13","23.4","56 m -  120 m","3"
"(2019 OK)","2019-Jul-25 01:22 ± < 00:01","0.00048","0.00048","24.53","24.31","23.3","58 m -  130 m","4"
"(2019 OD3)","2019-Jul-28 02:56 ± < 00:01","0.00126","0.00125","18.10","17.99","26.9","11 m -   25 m","1"
"(2019 ON3)","2019-Jul-29 01:19 ±    00:14","0.00143","0.00142","14.16","14.03","27.8","7.2 m -   16 m","0"
"(2019 QB1)","2019-Aug-20 11:55 ± < 00:01","0.00083","0.00083","11.88","11.61","27.5","8.4 m -   19 m","1"
"(2019 QH2)","2019-Aug-20 18:12 ±    00:08","0.00033","0.00032","14.07","13.49","30.4","2.2 m -  4.9 m","0"
"(2019 QD)","2019-Aug-22 01:28 ± < 00:01","0.00200","0.00200","15.10","15.01","28.8","4.6 m -   10 m","0"
"(2019 QR8)","2019-Aug-26 08:51 ±    01:08","0.00207","0.00199","12.98","12.88","27.9","7.0 m -   16 m","0"
"(2019 QQ3)","2019-Aug-26 15:14 ±    00:01","0.00064","0.00063","19.73","19.52","29.3","3.7 m -  8.2 m","0"
"(2019 RQ)","2019-Sep-02 16:45 ± < 00:01","0.00074","0.00074","13.22","12.94","30.6","2.0 m -  4.5 m","0"
"(2019 RP1)","2019-Sep-05 22:04 ± < 00:01","0.00025","0.00025","25.88","25.47","27.9","7.0 m -   16 m","2"
"(2019 RC1)","2019-Sep-07 10:48 ± < 00:01","0.00123","0.00123","20.36","20.25","28.9","4.4 m -  9.9 m","0"
"(2020 CD3)","2019-Sep-10 04:00 ± < 00:01","0.00202","0.00202","1.47","-NaN","31.7","1.2 m -  2.7 m","0"
"(2019 SJ)","2019-Sep-16 18:56 ± < 00:01","0.00163","0.00163","8.67","8.48","27.6","8.0 m -   18 m","0"
"(2019 SU2)","2019-Sep-21 02:48 ±    00:01","0.00048","0.00048","11.92","11.45","30.1","2.5 m -  5.7 m","0"
"(2019 SD1)","2019-Sep-21 06:46 ± < 00:01","0.00187","0.00186","24.09","24.03","28.5","5.3 m -   12 m","0"
"(2019 SS2)","2019-Sep-21 07:12 ±    00:02","0.00077","0.00077","8.81","8.41","30.7","1.9 m -  4.3 m","0"
"(2019 SS3)","2019-Sep-22 22:46 ±    00:03","0.00188","0.00187","14.42","14.32","26.2","15 m -   34 m","1"
"(2019 SX8)","2019-Sep-28 07:50 ± < 00:01","0.00255","0.00254","8.38","8.25","28.9","4.4 m -  9.9 m","0"
"(2019 TE)","2019-Sep-28 20:33 ±    01:31","0.00238","0.00227","19.63","19.57","28.0","6.7 m -   15 m","0"
"(2019 TD)","2019-Sep-29 18:49 ±    00:01","0.00087","0.00087","10.10","9.79","29.2","3.8 m -  8.6 m","0"
"(2019 SM8)","2019-Oct-01 13:56 ± < 00:01","0.00106","0.00106","14.22","14.05","29.2","3.8 m -  8.6 m","0"
"(2019 SP3)","2019-Oct-03 06:33 ± < 00:01","0.00249","0.00248","8.66","8.53","26.2","15 m -   34 m","1"
"(2019 TN5)","2019-Oct-05 22:38 ± < 00:01","0.00083","0.00083","12.73","12.47","28.3","5.8 m -   13 m","1"
"(2019 UU1)","2019-Oct-18 06:23 ± < 00:01","0.00151","0.00151","7.64","7.41","30.4","2.2 m -  4.9 m","0"
"(2019 UG)","2019-Oct-18 09:23 ± < 00:01","0.00215","0.00215","12.10","12.00","28.1","6.4 m -   14 m","0"
"(2019 UL3)","2019-Oct-19 22:22 ± < 00:01","0.00199","0.00198","8.95","8.80","28.3","5.8 m -   13 m","0"
"(2019 UN8)","2019-Oct-23 16:36 ± < 00:01","0.00241","0.00240","19.28","19.22","29.7","3.1 m -  6.8 m","0"
"(2019 UO8)","2019-Oct-25 13:30 ± < 00:01","0.00105","0.00105","25.24","25.14","29.3","3.7 m -  8.2 m","0"
"(2019 UX12)","2019-Oct-26 03:07 ±    00:01","0.00256","0.00254","9.73","9.62","28.7","4.8 m -   11 m","0"
"(2019 UD10)","2019-Oct-27 10:08 ±    00:02","0.00112","0.00112","11.53","11.32","28.2","6.1 m -   14 m","0"
"(2019 UB8)","2019-Oct-29 06:30 ± < 00:01","0.00127","0.00127","10.58","10.38","29.0","4.2 m -  9.4 m","0"
"(2019 UN13)","2019-Oct-31 14:45 ± < 00:01","0.00008","0.00008","12.85","10.09","32.0","1.1 m -  2.4 m","0"
"(2019 UG11)","2019-Nov-01 20:42 ± < 00:01","0.00140","0.00140","10.11","9.92","26.8","12 m -   26 m","1"
"(2019 VC37)","2019-Nov-01 20:44 ± < 00:01","0.00157","0.00157","6.00","5.71","29.7","3.1 m -  6.9 m","0"
"(2019 VA)","2019-Nov-02 17:28 ± < 00:01","0.00071","0.00071","8.65","8.20","28.4","5.6 m -   12 m","1"
"(2019 VD)","2019-Nov-04 09:56 ± < 00:01","0.00117","0.00116","12.00","11.81","27.4","8.8 m -   20 m","1"
"(2019 VR)","2019-Nov-04 10:30 ± < 00:01","0.00091","0.00091","9.63","9.32","28.1","6.4 m -   14 m","1"
"(2019 VS4)","2019-Nov-06 16:28 ± < 00:01","0.00093","0.00093","7.51","7.12","27.3","9.2 m -   21 m","1"
"(2019 VB5)","2019-Nov-09 17:29 ± < 00:01","0.00097","0.00097","6.20","5.74","31.7","1.2 m -  2.7 m","0"
"(2019 VF5)","2019-Nov-09 23:16 ± < 00:01","0.00127","0.00127","18.00","17.88","27.5","8.4 m -   19 m","1"
"(2020 CD3)","2019-Nov-18 13:04 ± < 00:01","0.00194","0.00194","1.54","-NaN","31.7","1.2 m -  2.7 m","0"
"(2019 WH)","2019-Nov-19 08:01 ± < 00:01","0.00057","0.00057","10.98","10.54","26.2","15 m -   34 m","2"
"(2019 WV1)","2019-Nov-19 23:56 ±    00:01","0.00185","0.00185","8.85","8.68","28.0","6.7 m -   15 m","0"
"(2019 WG2)","2019-Nov-23 08:44 ± < 00:01","0.00121","0.00121","14.92","14.78","24.9","27 m -   61 m","2"
"(2019 WJ4)","2019-Nov-30 20:05 ± < 00:01","0.00219","0.00219","18.52","18.46","28.4","5.6 m -   12 m","0"
"(2019 YB)","2019-Dec-18 00:12 ±    00:03","0.00113","0.00112","12.80","12.62","29.7","3.1 m -  6.8 m","0"
"(2019 YS)","2019-Dec-18 15:12 ± < 00:01","0.00044","0.00044","7.17","6.26","31.5","1.3 m -  3.0 m","0"
"(2019 YU2)","2019-Dec-23 19:28 ± < 00:01","0.00066","0.00066","15.63","15.37","27.4","8.8 m -   20 m","1"
"(2019 YV4)","2019-Dec-25 21:41 ±    11:01","0.00251","0.00230","20.12","20.07","27.3","9.2 m -   21 m","0"
"(2020 AP1)","2020-Jan-02 15:33 ±    00:02","0.00218","0.00218","5.61","5.39","29.6","3.2 m -  7.1 m","0"
"(2020 BK3)","2020-Jan-20 20:52 ± < 00:01","0.00200","0.00200","10.53","10.40","26.9","11 m -   25 m","1"
"(2020 BB5)","2020-Jan-22 00:20 ± < 00:01","0.00177","0.00177","9.02","8.86","29.7","3.1 m -  6.8 m","0"
"(2020 BH6)","2020-Jan-25 05:11 ± < 00:01","0.00047","0.00047","10.20","9.63","28.6","5.1 m -   11 m","1"
"(2020 BA13)","2020-Jan-27 16:56 ± < 00:01","0.00132","0.00132","10.31","10.11","28.9","4.4 m -  9.9 m","0"
"(2020 BA15)","2020-Jan-28 18:03 ± < 00:01","0.00252","0.00251","12.23","12.14","27.4","8.8 m -   20 m","0"
"(2020 BZ13)","2020-Jan-29 01:18 ± < 00:01","0.00072","0.00071","24.40","24.25","29.9","2.8 m -  6.2 m","0"
"(2020 CZ)","2020-Jan-31 03:51 ±    00:48","0.00210","0.00209","14.49","14.40","29.4","3.5 m -  7.8 m","0"
"(2020 CJ)","2020-Jan-31 19:03 ± < 00:01","0.00236","0.00236","6.55","6.37","26.9","11 m -   25 m","1"
"(2020 CW)","2020-Feb-01 12:50 ± < 00:01","0.00010","0.00010","21.28","20.06","32.6","0.82 m -  1.8 m","0"
"(2020 CA)","2020-Feb-02 15:49 ±    00:02","0.00147","0.00146","13.26","13.12","29.6","3.2 m -  7.1 m","0"
"(2020 BT14)","2020-Feb-03 08:19 ± < 00:01","0.00126","0.00125","8.43","8.18","27.7","7.7 m -   17 m","1"
"(2020 CQ1)","2020-Feb-04 11:16 ± < 00:01","0.00043","0.00043","6.07","4.94","28.9","4.5 m -   10 m","1"
"(2020 DU)","2020-Feb-13 13:22 ±    00:06","0.00217","0.00215","9.96","9.84","28.7","4.8 m -   11 m","0"
"(2020 CD3)","2020-Feb-13 16:20 ± < 00:01","0.00031","0.00031","4.07","-NaN","31.7","1.2 m -  2.7 m","0"
"(2020 CQ2)","2020-Feb-14 02:19 ± < 00:01","0.00099","0.00099","7.99","7.65","28.6","5.1 m -   11 m","0"
"(2020 DP14)","2020-Feb-17 22:24 ± < 00:01","0.00080","0.00080","6.95","6.46","30.3","2.3 m -  5.2 m","0"
"(2020 DA1)","2020-Feb-18 10:32 ± < 00:01","0.00129","0.00129","19.07","18.96","29.8","2.9 m -  6.5 m","0"
"(2020 DW)","2020-Feb-18 17:02 ± < 00:01","0.00161","0.00161","4.04","3.61","30.4","2.2 m -  4.9 m","0"
"(2020 DR4)","2020-Feb-25 20:29 ± < 00:01","0.00062","0.00062","7.42","6.82","29.8","3.0 m -  6.7 m","0"
"(2020 FD2)","2020-Mar-14 20:18 ±    00:05","0.00219","0.00216","33.42","33.38","25.7","19 m -   43 m","1"
"(2020 FD)","2020-Mar-18 04:05 ± < 00:01","0.00171","0.00171","15.60","15.50","27.7","7.8 m -   17 m","0"
"(2020 FG4)","2020-Mar-19 13:35 ±    00:51","0.00126","0.00125","11.32","11.13","26.9","11 m -   25 m","1"
"(2020 FL2)","2020-Mar-22 20:32 ± < 00:01","0.00099","0.00099","20.25","20.12","26.1","16 m -   36 m","2"
"(2020 FJ4)","2020-Mar-25 13:42 ± < 00:01","0.00172","0.00171","13.65","13.54","29.5","3.3 m -  7.5 m","0"
"(2020 FB7)","2020-Mar-31 16:17 ± < 00:01","0.00052","0.00052","16.63","16.31","26.1","16 m -   36 m","2"
"(2020 GO1)","2020-Apr-01 19:09 ± < 00:01","0.00046","0.00046","7.65","6.85","27.6","8.0 m -   18 m","2"
"(2020 GH)","2020-Apr-03 22:04 ± < 00:01","0.00084","0.00084","12.88","12.63","29.0","4.2 m -  9.4 m","0"
"(2020 GY1)","2020-Apr-05 07:37 ± < 00:01","0.00054","0.00054","12.08","11.66","26.6","13 m -   28 m","2"
"(2022 UH2)","2020-Apr-09 01:50 ± 1_22:03","0.00113","0.00083","12.21","12.02","27.4","8.9 m -   20 m","1"
"(2020 HO)","2020-Apr-15 10:06 ±    00:01","0.00193","0.00192","20.11","20.04","28.6","5.1 m -   11 m","0"
"(2020 GH2)","2020-Apr-15 12:47 ± < 00:01","0.00240","0.00240","8.71","8.58","26.6","13 m -   28 m","1"
"(2020 HM6)","2020-Apr-22 05:52 ± < 00:01","0.00109","0.00108","15.97","15.81","26.6","13 m -   28 m","1"
"(2020 HF5)","2020-Apr-22 16:41 ± < 00:01","0.00098","0.00098","7.64","7.28","26.7","12 m -   27 m","1"
"(2020 HU7)","2020-Apr-22 20:19 ± < 00:01","0.00087","0.00087","10.67","10.38","29.7","3.1 m -  6.8 m","0"
"(2020 HX3)","2020-Apr-24 19:38 ± < 00:01","0.00169","0.00169","15.08","14.98","27.2","9.7 m -   22 m","1"
"(2020 HT8)","2020-Apr-26 13:33 ±    00:01","0.00099","0.00098","19.99","19.85","28.6","5.1 m -   11 m","0"
"(2020 HP6)","2020-Apr-27 14:40 ± < 00:01","0.00084","0.00084","12.22","11.96","28.0","6.7 m -   15 m","1"
"(2020 HS7)","2020-Apr-28 18:51 ± < 00:01","0.00029","0.00029","15.56","14.95","29.1","4.0 m -  9.0 m","1"
"(2020 JG)","2020-Apr-30 19:38 ± < 00:01","0.00143","0.00142","13.22","13.08","25.8","18 m -   41 m","2"
"(2020 JA)","2020-May-03 20:01 ± < 00:01","0.00160","0.00159","20.28","20.19","27.2","9.7 m -   22 m","1"
"(2020 JJ)","2020-May-04 12:05 ± < 00:01","0.00009","0.00009","14.36","12.11","29.9","2.8 m -  6.2 m","1"
"(2020 JV38)","2020-May-05 01:43 ± < 00:01","0.00140","0.00140","11.78","11.62","27.6","8.2 m -   18 m","1"
"(2020 JN)","2020-May-05 03:22 ± < 00:01","0.00167","0.00166","21.91","21.84","27.4","8.8 m -   20 m","1"
"(2021 GM1)","2020-May-09 03:57 ± < 00:01","0.00181","0.00181","1.81","0.58","30.4","2.2 m -  4.9 m","0"
"(2020 KF5)","2020-May-28 12:47 ± < 00:01","0.00165","0.00165","10.86","10.71","29.4","3.5 m -  7.8 m","0"
"(2020 KJ4)","2020-May-28 13:21 ± < 00:01","0.00096","0.00096","4.92","4.32","29.9","2.8 m -  6.2 m","0"
"(2020 KC5)","2020-May-29 20:47 ± < 00:01","0.00247","0.00247","9.14","9.02","27.4","8.8 m -   20 m","0"
"(2020 LD)","2020-Jun-05 08:23 ± < 00:01","0.00205","0.00205","27.14","27.10","22.4","89 m -  200 m","3"
"(2020 ML2)","2020-Jun-13 04:45 ± < 00:01","0.00238","0.00237","5.45","5.24","27.9","7.0 m -   16 m","0"
"(2020 NB)","2020-Jul-05 21:20 ± < 00:01","0.00119","0.00119","8.35","8.08","26.2","15 m -   35 m","2"
"(2020 OY4)","2020-Jul-28 05:30 ± < 00:01","0.00028","0.00028","12.39","11.59","30.4","2.3 m -  5.1 m","0"
"(2020 PA)","2020-Aug-01 01:56 ± < 00:01","0.00039","0.00039","9.07","8.28","28.8","4.5 m -   10 m","1"
"(2020 PX5)","2020-Aug-11 08:45 ± < 00:01","0.00153","0.00152","10.29","10.12","29.6","3.3 m -  7.3 m","0"
"(2020 QJ5)","2020-Aug-12 14:56 ± < 00:01","0.00198","0.00197","9.86","9.73","26.7","12 m -   27 m","1"
"(2020 PW2)","2020-Aug-14 04:25 ± < 00:01","0.00187","0.00187","10.77","10.63","28.8","4.6 m -   10 m","0"
"(2020 QG)","2020-Aug-16 04:09 ± < 00:01","0.00006","0.00006","12.33","8.15","29.9","2.8 m -  6.2 m","2"
"(2020 QF2)","2020-Aug-18 01:41 ± < 00:01","0.00140","0.00140","10.84","10.67","27.9","7.0 m -   16 m","0"
"(2020 PY2)","2020-Aug-20 23:29 ± < 00:01","0.00234","0.00234","16.80","16.73","26.5","13 m -   30 m","1"
"(2020 QY2)","2020-Aug-20 23:50 ± < 00:01","0.00044","0.00044","18.92","18.60","31.2","1.5 m -  3.4 m","0"
"(2020 QN4)","2020-Aug-21 04:23 ± < 00:01","0.00182","0.00182","7.73","7.54","28.6","5.1 m -   11 m","0"
"(2020 QQ4)","2020-Aug-22 23:18 ± < 00:01","0.00206","0.00206","7.62","7.45","28.8","4.6 m -   10 m","0"
"(2020 QR5)","2020-Aug-23 04:20 ± < 00:01","0.00214","0.00214","6.94","6.76","27.3","9.0 m -   20 m","0"
"(2020 QK111)","2020-Aug-26 21:31 ± < 00:01","0.00090","0.00086","11.96","11.71","29.8","2.9 m -  6.5 m","0"
"(2020 RE5)","2020-Sep-09 16:50 ±    00:03","0.00164","0.00163","17.04","16.94","29.1","4.0 m -  9.0 m","0"
"(2020 RG10)","2020-Sep-10 11:33 ±    00:03","0.00091","0.00091","13.37","13.15","28.8","4.6 m -   10 m","0"
"(2020 SP)","2020-Sep-13 00:57 ± < 00:01","0.00222","0.00222","4.03","3.72","27.1","10 m -   23 m","1"
"(2020 RF3)","2020-Sep-14 06:49 ± < 00:01","0.00063","0.00063","17.16","16.91","28.5","5.3 m -   12 m","1"
"(2020 RD4)","2020-Sep-14 20:33 ± < 00:01","0.00071","0.00071","10.21","9.83","29.7","3.1 m -  6.8 m","0"
"(2020 RZ6)","2020-Sep-17 18:23 ± < 00:01","0.00227","0.00227","8.67","8.54","26.5","13 m -   29 m","1"
"(2020 SZ2)","2020-Sep-19 04:16 ± < 00:01","0.00245","0.00244","11.00","10.90","29.4","3.5 m -  7.8 m","0"
"(2020 SG6)","2020-Sep-23 12:45 ±    00:04","0.00149","0.00148","9.98","9.79","29.3","3.7 m -  8.2 m","0"
"(2020 SW)","2020-Sep-24 11:13 ± < 00:01","0.00019","0.00019","7.75","5.63","29.1","4.1 m -  9.2 m","1"
"(2020 SN5)","2020-Sep-24 12:47 ± < 00:01","0.00135","0.00134","13.46","13.31","28.1","6.3 m -   14 m","0"
"(2020 SQ4)","2020-Sep-26 18:05 ± < 00:01","0.00236","0.00235","12.93","12.84","28.9","4.4 m -  9.8 m","0"
"(2020 TA)","2020-Oct-01 11:07 ±    00:02","0.00148","0.00147","11.91","11.75","25.5","21 m -   47 m","2"
"(2020 TE5)","2020-Oct-09 18:18 ±    00:05","0.00038","0.00038","12.10","11.50","29.0","4.2 m -  9.3 m","1"
"(2020 TS1)","2020-Oct-12 10:57 ± < 00:01","0.00170","0.00170","4.19","3.80","29.2","3.8 m -  8.6 m","0"
"(2020 TD7)","2020-Oct-13 09:51 ± < 00:01","0.00227","0.00227","9.95","9.83","26.8","12 m -   26 m","1"
"(2020 TK7)","2020-Oct-14 16:00 ± < 00:01","0.00050","0.00050","10.65","10.14","29.6","3.2 m -  7.0 m","0"
"(2020 UE)","2020-Oct-15 08:55 ± < 00:01","0.00182","0.00182","14.63","14.53","25.5","21 m -   46 m","2"
"(2020 TG6)","2020-Oct-17 18:03 ± < 00:01","0.00093","0.00093","18.80","18.65","29.1","4.0 m -  9.0 m","0"
"(2020 TE6)","2020-Oct-18 19:19 ± < 00:01","0.00154","0.00154","10.73","10.57","27.5","8.4 m -   19 m","1"
"(2020 UX)","2020-Oct-19 07:05 ±    00:01","0.00127","0.00126","8.64","8.39","31.1","1.6 m -  3.5 m","0"
"(2020 TF6)","2020-Oct-19 19:24 ± < 00:01","0.00103","0.00102","12.73","12.53","27.6","8.0 m -   18 m","1"
"(2020 UA)","2020-Oct-21 02:00 ± < 00:01","0.00030","0.00030","7.84","6.60","28.4","5.5 m -   12 m","1"
"(2020 UY)","2020-Oct-21 04:24 ±    00:01","0.00235","0.00234","6.99","6.83","29.0","4.2 m -  9.4 m","0"
"(2020 UO3)","2020-Oct-22 15:53 ± < 00:01","0.00234","0.00233","16.76","16.69","28.2","6.0 m -   13 m","0"
"(2020 UF3)","2020-Oct-22 22:17 ± < 00:01","0.00029","0.00029","22.01","21.58","28.4","5.6 m -   13 m","1"
"(2020 VW)","2020-Nov-02 09:07 ± < 00:01","0.00148","0.00148","9.88","9.70","28.4","5.7 m -   13 m","0"
"(2020 VO1)","2020-Nov-06 23:48 ± < 00:01","0.00116","0.00116","7.97","7.68","28.0","6.7 m -   15 m","0"
"(2020 VR1)","2020-Nov-09 17:51 ± < 00:01","0.00254","0.00254","12.53","12.45","28.9","4.3 m -  9.7 m","0"
"(2020 VP1)","2020-Nov-11 06:59 ± < 00:01","0.00123","0.00122","21.82","21.72","27.7","7.8 m -   17 m","1"
"(2020 VT4)","2020-Nov-13 17:21 ± < 00:01","0.00005","0.00005","13.43","7.88","28.6","5.0 m -   11 m","3"
"(2020 VH5)","2020-Nov-13 19:46 ± < 00:01","0.00169","0.00169","7.50","7.29","29.2","3.8 m -  8.5 m","0"
"(2020 WY4)","2020-Nov-24 03:19 ±    00:04","0.00075","0.00074","16.21","15.99","28.9","4.4 m -  9.9 m","0"
"(2020 WG5)","2020-Nov-26 02:36 ± < 00:01","0.00242","0.00241","6.19","6.01","27.8","7.5 m -   17 m","0"
